Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 91.0.4472.124,,,2021-07-13 14:05:34,2021-07-13 14:05:51,"17,808s",FAILED
,,,,,,,
Test Cases/Pega/Login,Chrome 91.0.4472.124,Login,,2021-07-13 14:05:34,2021-07-13 14:05:41,"6,655s",FAILED
"openBrowser(""http://training.openspan.com/login"")",Chrome 91.0.4472.124,,,2021-07-13 14:05:35,2021-07-13 14:05:38,"3,666s",PASSED
"sendKeys(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a user name of at least 4 characters_user_name""), username)",Chrome 91.0.4472.124,,,2021-07-13 14:05:38,2021-07-13 14:05:39,"0,505s",PASSED
"sendKeys(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a password of at least 4 characters_user_pass""), Password)",Chrome 91.0.4472.124,,,2021-07-13 14:05:39,2021-07-13 14:05:39,"0,414s",PASSED
"click(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a password of at least 4 characters_login_button""))",Chrome 91.0.4472.124,,,2021-07-13 14:05:39,2021-07-13 14:05:40,"1,145s",PASSED
acceptAlert(),Chrome 91.0.4472.124,,,2021-07-13 14:05:40,2021-07-13 14:05:41,"0,407s",FAILED
,,,,,,,
Test Cases/Pega/Login,Chrome 91.0.4472.124,Login,,2021-07-13 14:05:41,2021-07-13 14:05:46,"5,541s",FAILED
"openBrowser(""http://training.openspan.com/login"")",Chrome 91.0.4472.124,,,2021-07-13 14:05:41,2021-07-13 14:05:44,"2,798s",PASSED
"sendKeys(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a user name of at least 4 characters_user_name""), username)",Chrome 91.0.4472.124,,,2021-07-13 14:05:44,2021-07-13 14:05:44,"0,549s",PASSED
"sendKeys(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a password of at least 4 characters_user_pass""), Password)",Chrome 91.0.4472.124,,,2021-07-13 14:05:44,2021-07-13 14:05:44,"0,406s",PASSED
"click(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a password of at least 4 characters_login_button""))",Chrome 91.0.4472.124,,,2021-07-13 14:05:44,2021-07-13 14:05:46,"1,398s",PASSED
acceptAlert(),Chrome 91.0.4472.124,,,2021-07-13 14:05:46,2021-07-13 14:05:46,"0,379s",FAILED
,,,,,,,
Test Cases/Pega/Login,Chrome 91.0.4472.124,Login,,2021-07-13 14:05:46,2021-07-13 14:05:51,"5,074s",FAILED
"openBrowser(""http://training.openspan.com/login"")",Chrome 91.0.4472.124,,,2021-07-13 14:05:46,2021-07-13 14:05:49,"2,750s",PASSED
"sendKeys(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a user name of at least 4 characters_user_name""), username)",Chrome 91.0.4472.124,,,2021-07-13 14:05:49,2021-07-13 14:05:50,"0,534s",PASSED
"sendKeys(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a password of at least 4 characters_user_pass""), Password)",Chrome 91.0.4472.124,,,2021-07-13 14:05:50,2021-07-13 14:05:50,"0,389s",PASSED
"click(findTestObject(""Login/Page_Sign In  Pega Studio Training Web Application/input_Please enter a password of at least 4 characters_login_button""))",Chrome 91.0.4472.124,,,2021-07-13 14:05:50,2021-07-13 14:05:51,"1,029s",PASSED
acceptAlert(),Chrome 91.0.4472.124,,,2021-07-13 14:05:51,2021-07-13 14:05:51,"0,352s",FAILED
